matchid;journee;stade;spectateurs;date;home_team;away_team;home_goal;away_goal;home_possession;away_possession;home_duels_gagnes;away_duel_gagnes;home_duel_aeriens_gagnes;away_duel_aeriens_gagnes;home_interceptions;away_interceptions;home_hors_jeux;away_hors_eux;home_corners_won;away_corners_won;home_passes;away_passes;home_centres;away_centres;home_tirs;away_tirs;home_tirs_cadres;away_tirs_cadres;home_carton_jaune;away_carton_jaune;home_carton_rouge;away_carton_rouge;home_formation;away_formation;date_str;home_win;total_tirs;diff_possession
70840;Journée 9;STADE FRANÇOIS-COTY;6610.0;;AC AJACCIO;CLERMONT FOOT 63;1;3;51.9;48.1;44,9;55,1;50;50;9.0;12.0;0.0;1.0;4.0;4.0;439.0;412.0;26.0;13.0;12;7;3;3;3.0;3.0;0.0;0.0;2-2-2-2-2;1-2-2-3-2;2 OCTOBRE 2022- 15:00;0;19;3.799999999999997
70841;Journée 9;STADE RAYMOND-KOPA;15787.0;;ANGERS SCO;OLYMPIQUE DE MARSEILLE;0;3;43.4;56.6;52,3;47,7;52,9;47,1;12.0;13.0;1.0;0.0;6.0;3.0;368.0;483.0;12.0;15.0;16;15;5;7;0.0;0.0;0.0;0.0;2-2-2-2-2;2-2-2-3-1;30 SEPTEMBRE 2022- 21:00;0;31;-13.200000000000003
70842;Journée 9;STADE DE L'ABBÉ-DESCHAMPS;14630.0;;AJ AUXERRE;STADE BRESTOIS 29;1;1;48.7;51.3;54,5;45,5;45,2;54,8;15.0;11.0;0.0;2.0;0.0;6.0;438.0;453.0;14.0;23.0;11;9;3;2;1.0;4.0;1.0;0.0;2-2-1-4-1;3-2-2-2-1;2 OCTOBRE 2022- 15:00;0;20;-2.5999999999999943
70843;Journée 9;STADE BOLLAERT-DELELIS;36674.0;;RC LENS;OLYMPIQUE LYONNAIS;1;0;52.4;47.6;49,6;50,4;63;37;21.0;17.0;1.0;0.0;6.0;2.0;503.0;470.0;24.0;7.0;21;4;6;0;2.0;2.0;0.0;0.0;3-2-2-2-1;3-2-2-2-1;2 OCTOBRE 2022- 20:45;1;25;4.799999999999997
70844;Journée 9;STADE YVES-ALLAINMAT;14916.0;;FC LORIENT;LOSC LILLE;2;1;37.4;62.6;53,4;46,6;46,4;53,6;7.0;7.0;0.0;1.0;0.0;14.0;326.0;516.0;5.0;40.0;7;20;4;4;1.0;3.0;1.0;0.0;2-2-2-3-1;3-2-2-2-1;2 OCTOBRE 2022- 13:00;1;27;-25.200000000000003
70845;Journée 9;STADE LOUIS-II;5202.0;;AS MONACO;FC NANTES;4;1;48.0;52.0;54,1;45,9;40;60;12.0;12.0;4.0;0.0;7.0;7.0;476.0;514.0;14.0;20.0;10;7;6;2;0.0;1.0;0.0;0.0;2-2-2-2-2;2-2-2-3-1;2 OCTOBRE 2022- 17:05;1;17;-4.0
70846;Journée 9;PARC DES PRINCES;47926.0;;PARIS SAINT-GERMAIN;OGC NICE;2;1;57.3;42.7;43,9;56,1;50;50;5.0;11.0;3.0;2.0;4.0;0.0;663.0;485.0;8.0;12.0;12;4;4;1;1.0;1.0;0.0;0.0;3-2-2-2-1;2-2-2-3-1;1 OCTOBRE 2022- 21:00;1;16;14.599999999999994
70847;Journée 9;STADE DE LA MEINAU;25226.0;;RC STRASBOURG ALSACE;STADE RENNAIS FC;1;3;38.9;61.1;55,3;44,7;62,5;37,5;16.0;9.0;3.0;2.0;1.0;6.0;384.0;603.0;11.0;19.0;9;17;3;7;0.0;2.0;1.0;0.0;3-5-2;2-2-2-2-2;1 OCTOBRE 2022- 17:00;0;26;-22.200000000000003
70848;Journée 9;STADIUM;21761.0;;TOULOUSE FC;MONTPELLIER HÉRAULT SC;4;2;43.2;56.8;45,7;54,3;72;28;12.0;6.0;1.0;3.0;3.0;12.0;342.0;432.0;9.0;34.0;12;23;6;6;3.0;4.0;1.0;0.0;2-2-1-2-2-1;3-2-2-2-1;2 OCTOBRE 2022- 15:00;1;35;-13.599999999999994
70849;Journée 9;STADE DE L'AUBE;10164.0;;ESTAC TROYES;STADE DE REIMS;2;2;67.3;32.7;46,7;53,3;59,1;40,9;9.0;9.0;3.0;0.0;10.0;2.0;556.0;276.0;46.0;8.0;19;5;6;2;4.0;2.0;0.0;1.0;3-2-3-2;1-2-2-3-2;2 OCTOBRE 2022- 15:00;0;24;34.599999999999994
